timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785171232.8880808,LEFTARMGRIPPERCLOSE,165.6,343.7,189.2,197.7,0.0,71.2,138.7,340.7,28.1,0.0,163.3,0.0,58.2,0.0,0.368,0.047,0.853,4.79,29.18,-17.05,-0.795,0.024,0.512,-4.03,6.91,-1.24,10.89,10.14,0,1
1785171232.8984735,LEFTARMGRIPPERCLOSE,165.6,343.7,189.2,197.8,0.0,71.6,138.7,340.7,28.2,0.0,163.3,0.0,57.9,0.0,0.35,0.038,0.888,-2.91,29.56,-5.96,-0.833,0.008,0.506,-3.07,8.53,-0.97,10.91,10.11,0,1
1785171232.906834,LEFTARMGRIPPERCLOSE,165.6,343.7,189.2,197.8,0.0,72.2,138.6,340.7,28.2,0.0,163.3,0.0,42.3,0.0,0.369,0.011,0.885,-8.15,34.27,5.31,-0.83,0.001,0.501,-1.05,9.78,-1.82,10.94,10.08,0,1
1785171232.9127254,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.8,0.0,72.7,138.6,340.7,28.2,0.0,163.3,0.0,30.5,0.0,0.379,-0.043,0.853,-8.3,38.76,16.43,-0.865,0.005,0.49,0.79,9.18,-2.5,11.2,9.81,0,1
1785171232.9310422,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.8,0.0,73.1,138.5,340.7,28.3,0.0,163.3,0.0,21.7,0.0,0.361,0.005,0.857,-11.02,43.44,24.96,-0.874,0.036,0.471,1.73,6.49,-3.54,10.9,9.86,0,1
1785171232.936903,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.8,0.0,73.5,138.5,340.7,28.4,0.0,163.3,0.0,15.1,0.0,0.288,-0.023,0.88,-10.28,42.11,28.15,-0.947,0.048,0.491,1.32,2.17,-2.73,11.18,9.89,0,1
1785171232.9477022,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.8,0.0,73.9,138.4,340.7,28.5,0.0,163.3,0.0,10.2,0.0,0.248,0.046,0.917,-10.48,37.6,29.55,-0.889,0.043,0.456,1.07,-3.47,-2.51,11.38,10.17,0,1
1785171232.9557137,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.8,0.0,74.2,138.4,340.7,28.5,0.0,163.3,0.0,6.5,0.0,0.451,0.063,0.927,-14.01,25.79,32.37,-0.829,0.043,0.447,0.85,-6.31,-1.12,11.54,9.88,0,1
1785171232.96808,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.8,0.0,74.3,138.4,340.7,28.6,0.0,163.3,0.0,3.9,0.0,0.421,0.032,0.94,-18.79,19.88,28.34,-0.881,0.036,0.475,0.31,-6.84,0.4,11.65,9.91,0,1
1785171232.9800622,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.7,0.0,74.4,138.3,340.7,28.6,0.0,163.4,0.0,1.7,0.0,0.434,-0.052,1.001,-16.4,8.4,22.15,-0.862,0.017,0.499,-0.24,-8.08,-0.08,11.99,10.43,0,1
1785171232.9810126,LEFTARMGRIPPERCLOSE,165.6,343.7,189.1,197.7,0.0,74.4,138.1,340.4,28.6,0.0,163.4,0.0,0.1,0.0,0.394,-0.122,1.015,-6.08,-5.12,11.34,-0.847,0.017,0.509,0.79,-7.72,-2.06,11.99,10.57,0,1
