timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785171135.9238904,LEFTARMLEFT1,178.0,342.6,131.1,243.7,0.0,269.7,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.227,0.053,0.908,-3.11,13.94,-5.53,-0.683,0.007,0.63,-5.2,-1.22,1.61,17.96,18.51,0,1
1785171135.9308183,LEFTARMLEFT1,178.0,342.6,131.0,243.7,0.0,289.8,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.182,0.088,0.949,2.19,12.0,-5.94,-0.682,-0.001,0.629,-4.4,-0.21,1.06,18.47,18.38,0,1
1785171135.9443083,LEFTARMLEFT1,178.0,342.6,130.9,243.7,0.0,304.9,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.196,0.098,0.949,0.34,11.37,0.68,-0.689,-0.012,0.652,-2.88,0.79,-0.4,18.1,18.03,0,1
1785171135.952854,LEFTARMLEFT1,178.0,342.6,130.8,243.7,0.0,316.2,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.182,0.078,0.939,-0.44,10.8,5.53,-0.674,-0.015,0.641,-0.84,1.63,-1.91,18.58,18.28,0,1
1785171135.9636672,LEFTARMLEFT1,178.0,342.6,130.6,243.7,0.0,324.6,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.174,0.07,0.948,-0.11,7.44,8.68,-0.709,-0.008,0.638,0.31,1.95,-2.34,18.68,18.21,0,1
1785171135.972629,LEFTARMLEFT1,178.0,342.6,130.4,243.7,0.0,330.9,360.0,339.5,26.0,0.0,153.2,0.0,0.0,0.0,0.192,0.091,0.949,-0.4,3.38,11.31,-0.698,0.006,0.626,0.63,1.97,-2.11,19.01,18.16,0,1
1785171135.9833267,LEFTARMLEFT1,178.0,342.6,130.2,243.7,0.0,335.7,360.0,339.5,26.0,0.0,153.2,0.0,0.0,0.0,0.25,0.089,0.969,-0.13,-0.12,9.82,-0.711,0.004,0.634,0.81,1.88,-2.42,18.51,18.12,0,1
1785171135.9871795,LEFTARMLEFT1,178.0,342.6,130.1,243.7,0.0,339.3,360.0,339.5,26.0,0.0,153.2,0.0,0.0,0.0,0.291,0.083,0.975,2.77,-3.07,6.36,-0.708,0.005,0.634,1.01,1.62,-2.19,18.88,18.09,0,1
1785171135.9969778,LEFTARMLEFT1,178.0,342.7,130.0,243.7,0.0,341.9,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.321,0.1,0.962,5.85,-4.9,3.21,-0.722,0.006,0.627,0.95,0.82,-2.08,18.66,18.07,0,1
1785171136.0037837,LEFTARMLEFT1,178.0,342.7,129.9,243.7,0.0,344.0,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.321,0.098,0.954,7.36,-5.38,-0.25,-0.726,0.016,0.625,0.68,-0.2,-1.86,19.0,17.8,0,1
1785171136.0194557,LEFTARMLEFT1,178.0,342.7,129.9,243.8,0.0,345.4,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.289,0.107,0.967,6.27,-6.89,-1.23,-0.71,0.033,0.618,-0.74,-0.88,-1.19,18.75,17.85,0,1
1785171136.03542,LEFTARMLEFT1,178.1,342.7,129.8,243.8,0.0,346.5,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.271,0.069,0.911,5.08,-7.15,1.11,-0.706,0.036,0.629,-2.63,-0.94,-0.09,18.81,17.64,0,1
1785171136.03542,LEFTARMLEFT1,178.1,342.7,129.8,243.8,0.0,347.3,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.227,0.091,0.928,1.37,-8.01,6.53,-0.694,0.03,0.637,-4.44,-0.73,1.17,18.86,17.98,0,1
1785171136.053644,LEFTARMLEFT1,178.1,342.7,129.8,243.8,0.0,348.0,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.218,0.099,0.888,-4.19,-8.6,13.47,-0.71,0.011,0.632,-4.93,-0.96,1.85,19.14,18.23,0,1
1785171136.0630188,LEFTARMLEFT1,178.1,342.6,129.8,243.8,0.0,328.5,360.0,339.5,25.9,0.0,153.3,0.0,0.0,0.0,0.164,0.094,0.871,-7.15,-5.18,14.51,-0.71,-0.004,0.632,-4.38,-1.4,0.91,19.11,18.17,0,1
1785171136.0667593,LEFTARMLEFT1,178.2,342.6,129.8,243.8,0.0,333.9,360.0,339.5,25.9,0.0,153.2,0.0,0.0,0.0,0.028,0.099,0.863,1.11,3.4,2.35,-0.704,-0.011,0.63,-2.69,-1.83,-0.29,19.08,18.38,0,1
