timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785171178.355483,LEFTARMUP,174.0,342.4,129.9,251.2,0.0,269.2,356.8,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.204,0.063,0.883,2.34,16.27,-1.92,-0.757,0.027,0.535,1.06,0.37,-2.31,22.94,18.2,0,1
1785171178.3664901,LEFTARMUP,173.8,342.4,129.6,251.2,0.0,269.2,356.8,339.5,27.9,0.0,160.3,0.0,131.1,0.0,0.259,-0.031,0.834,-0.48,22.95,-6.93,-0.756,0.047,0.543,0.13,1.86,-1.83,22.21,18.4,0,1
1785171178.3756185,LEFTARMUP,173.7,342.4,129.6,251.2,0.0,269.2,356.8,339.5,27.9,0.0,160.3,0.0,131.1,0.0,0.24,0.204,0.865,-9.68,19.14,-5.38,-0.753,0.064,0.528,-2.02,1.82,-0.12,21.65,19.3,0,1
1785171178.380651,LEFTARMUP,173.6,342.4,129.6,251.1,0.0,269.2,356.6,339.5,27.9,0.0,160.3,0.0,131.1,0.0,0.272,0.142,0.915,-25.47,17.46,2.11,-0.787,0.055,0.529,-3.81,1.9,0.53,21.49,19.48,0,1
1785171178.3966284,LEFTARMUP,173.6,342.4,129.6,251.1,0.0,269.2,356.4,339.5,27.7,0.0,160.3,0.0,131.1,0.0,0.267,-0.037,0.966,-26.2,14.06,-3.11,-0.773,0.033,0.527,-4.31,2.09,0.44,21.37,17.11,0,1
1785171178.405065,LEFTARMUP,173.6,342.4,129.6,251.0,0.0,269.2,356.1,339.5,27.8,0.0,160.3,0.0,131.1,0.0,0.247,-0.077,1.023,-18.6,6.83,-8.37,-0.796,0.003,0.542,-4.15,2.34,0.43,21.53,18.08,0,1
1785171178.4152796,LEFTARMUP,173.5,342.5,129.6,250.7,0.0,269.3,355.9,339.5,27.8,0.0,160.3,0.0,131.1,0.0,0.244,-0.127,0.919,-17.17,2.89,-1.69,-0.793,0.002,0.527,-2.85,2.27,-0.25,21.39,18.56,0,1
1785171178.421774,LEFTARMUP,173.5,342.8,129.6,250.5,0.0,269.3,355.8,339.5,27.8,0.0,160.3,0.0,131.3,0.0,0.261,-0.137,0.949,-8.31,0.95,1.69,-0.801,-0.0,0.538,-0.79,2.85,-2.31,21.3,19.17,0,1
1785171178.432391,LEFTARMUP,173.5,342.8,129.6,250.3,0.0,269.4,355.7,339.5,27.8,0.0,160.3,0.0,131.2,0.0,0.322,-0.012,1.048,-6.35,-1.59,4.05,-0.808,0.009,0.535,-0.11,2.08,-2.31,21.47,19.63,0,1
1785171178.4462192,LEFTARMUP,173.5,342.8,129.6,250.2,0.0,269.4,355.6,339.5,27.8,0.0,160.3,0.0,131.1,0.0,0.375,-0.019,1.022,-5.35,-6.06,2.26,-0.815,0.027,0.523,-0.19,0.95,-1.46,21.35,20.22,0,1
1785171178.4462192,LEFTARMUP,173.5,342.8,129.6,250.0,0.0,269.4,355.5,339.5,27.8,0.0,160.3,0.0,131.0,0.0,0.35,0.044,0.986,-6.08,-4.15,0.59,-0.833,0.038,0.503,-1.18,-0.78,-0.49,21.27,20.17,0,1
1785171178.466741,LEFTARMUP,173.5,342.8,129.6,249.9,0.0,269.4,355.4,339.5,27.8,0.0,160.3,0.0,131.0,0.0,0.246,0.014,0.93,-10.6,-5.18,5.77,-0.815,0.034,0.517,-1.92,-2.53,0.32,21.45,20.12,0,1
1785171178.466741,LEFTARMUP,173.4,342.8,129.6,249.8,0.0,269.3,355.2,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.209,-0.05,0.885,-10.84,-7.34,5.26,-0.791,0.03,0.535,-2.18,-2.87,0.2,21.59,20.59,0,1
1785171178.4792252,LEFTARMUP,173.4,342.7,129.6,249.8,0.0,269.3,355.0,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.183,-0.079,0.916,-9.12,-9.81,5.37,-0.781,0.028,0.551,-2.48,-2.66,-0.02,21.19,20.19,0,1
1785171178.4956882,LEFTARMUP,173.4,342.7,129.6,249.7,0.0,269.4,354.9,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.175,-0.084,0.94,-9.24,-14.56,13.01,-0.786,0.026,0.531,-2.85,-2.37,0.06,21.39,19.9,0,1
1785171178.4956882,LEFTARMUP,173.4,342.7,129.6,249.7,0.0,269.4,354.8,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.214,-0.052,0.926,-10.37,-14.27,20.17,-0.799,0.008,0.548,-2.32,-1.68,0.27,21.29,19.92,0,1
1785171178.512473,LEFTARMUP,173.4,342.7,129.7,249.7,0.0,269.4,354.7,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.264,-0.029,0.897,-12.85,-12.0,22.05,-0.806,-0.009,0.547,-1.42,-1.4,-0.29,21.22,19.94,0,1
1785171178.5253289,LEFTARMUP,173.4,342.6,129.8,249.8,0.0,269.4,354.7,339.5,27.9,0.0,160.3,0.0,131.0,0.0,-0.268,-0.058,0.856,-6.42,-12.73,15.87,-0.816,-0.003,0.54,0.95,-2.22,-1.53,20.92,20.46,0,1
1785171178.5358467,LEFTARMUP,173.4,342.5,129.9,249.9,0.0,269.4,354.8,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.42,0.063,0.945,-13.65,-15.51,28.3,-0.746,0.01,0.535,2.2,-3.25,-3.48,20.94,20.59,0,1
1785171178.5456853,LEFTARMUP,173.4,342.4,129.9,250.0,0.0,269.4,354.9,339.5,27.9,0.0,160.3,0.0,131.0,0.0,0.339,-0.098,0.884,-9.44,-15.4,28.19,-0.769,0.017,0.533,2.52,-2.87,-3.35,20.95,20.69,0,1
