timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785170731.4602292,DOWN,172.0,343.5,65.1,203.5,220.1,0.0,355.9,196.7,97.9,0.0,95.3,0.0,253.8,0.0,-0.864,-0.013,0.372,3.18,-0.44,2.3,-0.213,0.061,0.936,9.08,-5.03,-1.73,12.07,11.1,1,0
1785170731.477158,DOWN,172.0,343.5,65.1,203.5,220.1,0.0,355.9,196.8,97.9,0.0,95.3,0.0,253.7,0.0,-0.874,-0.018,0.363,3.71,-0.37,2.09,-0.111,0.144,0.832,2.66,-3.25,6.96,12.3,11.32,1,0
1785170731.477158,DOWN,172.0,343.5,65.1,203.5,220.1,0.0,355.9,196.9,97.9,0.0,95.3,0.0,253.5,0.0,-0.866,-0.015,0.36,5.28,0.43,0.11,-0.069,0.07,0.92,8.36,0.09,6.65,12.48,11.49,1,0
1785170731.4974232,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.0,97.9,0.0,95.3,0.0,253.3,0.0,-0.874,0.002,0.385,3.71,1.67,1.61,-0.104,0.123,0.94,13.02,-0.12,8.48,12.36,11.37,1,0
1785170731.5054886,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.1,97.9,0.0,95.3,0.0,253.2,0.0,-0.858,-0.0,0.389,2.27,0.77,2.93,-0.086,0.139,0.928,14.13,-0.09,10.62,12.27,11.03,1,0
1785170731.5165386,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.2,97.9,0.0,95.3,0.0,253.0,0.0,-0.857,-0.008,0.393,3.04,0.98,1.98,-0.096,0.183,0.937,11.73,-1.08,10.7,12.2,8.77,1,0
1785170731.5263324,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.2,97.9,0.0,95.3,0.0,252.9,0.0,-0.85,-0.006,0.397,3.22,0.55,1.46,-0.09,0.187,0.92,6.76,-3.0,9.45,12.15,9.08,1,0
1785170731.536767,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.2,97.9,0.0,95.3,0.0,252.7,0.0,-0.854,-0.01,0.391,3.71,-0.06,2.53,-0.094,0.187,0.92,2.73,-5.37,6.33,12.11,9.56,1,0
1785170731.5448227,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.1,97.9,0.0,95.3,0.0,252.5,0.0,-0.851,-0.026,0.395,4.81,0.15,2.34,-0.108,0.166,0.908,0.03,-6.82,1.46,12.08,9.92,1,0
1785170731.5448227,DOWN,171.9,343.5,65.1,203.5,220.1,0.0,355.9,197.1,97.9,0.0,95.3,0.0,252.3,0.0,-0.861,-0.031,0.399,5.15,0.71,1.22,-0.081,0.138,0.912,-0.51,-6.6,-3.76,12.06,10.19,1,0
1785170731.5606723,DOWN,171.9,343.3,65.1,203.5,220.1,0.0,355.9,197.1,97.8,0.0,95.4,0.0,252.2,0.0,-0.86,-0.026,0.4,5.73,1.63,0.49,-0.075,0.132,0.908,-0.8,-6.0,-7.03,12.05,10.14,1,0
1785170731.5765588,DOWN,171.9,343.4,65.1,203.5,220.1,0.0,355.9,197.1,97.8,0.0,95.4,0.0,252.1,0.0,-0.861,-0.021,0.399,4.42,3.08,0.6,-0.052,0.136,0.899,-2.38,-5.5,-7.71,12.04,10.11,1,0
1785170731.5852742,DOWN,171.9,343.2,65.1,203.5,220.1,0.0,355.9,197.1,97.8,0.0,95.4,0.0,252.0,0.0,-0.856,-0.011,0.416,2.84,4.14,0.32,-0.057,0.136,0.893,-0.42,-4.02,-8.5,12.03,9.58,1,0
1785170731.5965848,DOWN,171.9,343.3,65.1,203.5,220.1,0.0,355.9,197.1,97.8,0.0,95.4,0.0,252.0,0.0,-0.852,0.002,0.418,0.89,4.21,0.47,-0.081,0.132,0.879,1.42,-3.71,-9.39,12.02,9.68,1,0
1785170731.6059449,DOWN,171.9,343.3,65.2,203.5,220.1,0.0,355.9,197.1,97.7,0.0,95.4,0.0,252.0,0.0,-0.854,-0.002,0.421,-0.23,3.11,1.51,0.07,0.205,0.833,1.79,2.57,-0.99,11.77,9.76,1,0
1785170731.6103814,DOWN,171.9,343.4,65.2,203.5,220.1,0.0,355.9,197.1,97.7,63.9,95.4,0.0,252.0,0.0,-0.84,0.004,0.412,-1.52,2.2,2.63,0.032,0.156,0.916,13.88,-0.74,-13.95,11.82,9.82,1,0
1785170731.6270535,DOWN,171.9,343.4,65.2,203.5,220.1,0.0,355.8,197.1,97.7,115.2,95.4,0.0,252.0,0.0,-0.86,-0.008,0.397,-1.93,0.51,3.14,-0.044,0.22,0.883,15.16,-2.43,-15.01,11.87,10.12,1,0
1785170731.6375644,DOWN,171.9,343.4,65.2,203.5,220.1,0.0,355.8,197.1,97.7,153.6,95.5,0.0,252.1,0.0,-0.856,-0.023,0.377,-0.21,-0.48,2.17,-0.062,0.229,0.881,14.49,-1.55,-12.82,11.9,10.34,1,0
1785170731.643673,DOWN,171.9,343.4,65.2,203.2,220.1,0.0,355.8,197.1,97.7,182.5,95.4,0.0,252.1,0.0,-0.868,-0.028,0.369,2.05,-1.24,1.94,-0.077,0.251,0.921,11.76,-2.32,-9.73,11.93,10.5,1,0
1785170731.6532226,DOWN,171.9,343.4,65.2,203.3,220.1,0.0,355.8,197.1,97.7,200.9,95.4,0.0,252.1,0.0,-0.864,-0.025,0.357,3.77,-0.71,1.12,-0.066,0.241,0.91,9.06,-3.79,-5.68,11.94,10.38,1,0
1785170731.6604538,DOWN,171.9,343.4,65.2,203.4,220.1,0.0,355.8,197.1,97.7,202.3,95.4,0.0,252.1,0.0,-0.877,-0.022,0.365,4.03,0.73,0.23,-0.072,0.227,0.894,4.71,-3.32,-3.76,11.96,10.53,1,0
1785170731.6692436,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.7,205.1,95.4,0.0,252.1,0.0,-0.874,-0.019,0.363,4.69,1.76,-0.91,-0.063,0.219,0.9,2.41,-2.43,-2.5,11.97,10.9,1,0
1785170731.6826649,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.7,219.6,95.4,0.0,252.1,0.0,-0.868,-0.01,0.384,4.85,3.91,-1.14,-0.068,0.205,0.887,0.86,-1.66,-1.72,11.98,10.67,1,0
1785170731.6937716,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.7,229.9,95.4,0.0,252.1,0.0,-0.86,0.007,0.395,2.97,5.03,-0.72,-0.082,0.214,0.893,0.16,-1.73,-0.89,11.73,10.51,1,0
1785170731.6937716,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.7,171.2,95.4,0.0,252.2,0.0,-0.855,-0.002,0.401,1.1,5.79,-0.91,-0.061,0.225,0.899,-0.48,-2.4,-0.06,11.8,10.38,1,0
1785170731.7154644,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.7,127.2,95.4,0.0,252.2,0.0,-0.864,-0.002,0.415,0.88,5.64,-1.23,-0.075,0.235,0.897,-2.49,-2.68,0.13,11.85,10.53,1,0
1785170731.7270067,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.7,94.3,95.2,0.0,252.2,0.0,-0.865,-0.01,0.417,0.35,4.6,-1.37,-0.078,0.226,0.885,-3.73,-2.82,-0.21,12.14,10.65,1,0
1785170731.733244,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,97.8,69.6,95.2,0.0,252.2,0.0,-0.864,-0.009,0.414,-0.07,4.0,-1.87,-0.094,0.222,0.891,-5.76,-2.12,-0.49,12.1,10.49,1,0
1785170731.7438655,DOWN,171.9,343.5,65.2,203.4,220.1,0.0,355.8,197.1,98.0,51.0,95.2,0.0,252.2,0.0,-0.863,-0.029,0.407,-0.29,3.64,-2.36,-0.081,0.223,0.886,-6.37,-3.43,0.03,12.08,10.62,1,0
1785170731.7577593,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.8,197.1,98.0,37.1,95.2,0.0,252.2,0.0,-0.863,-0.032,0.402,0.18,3.37,-2.63,-0.074,0.219,0.881,-8.24,-4.07,0.18,11.81,10.46,1,0
1785170731.7639756,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.8,197.2,98.2,26.7,95.2,0.0,252.2,0.0,-0.855,-0.032,0.395,-0.62,3.24,-3.02,-0.077,0.21,0.88,-9.18,-4.01,-0.5,11.86,10.35,1,0
1785170731.7780948,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.8,197.3,98.4,18.8,95.3,0.0,252.2,0.0,-0.862,-0.025,0.406,-0.23,3.31,-2.84,-0.085,0.199,0.879,-10.34,-3.2,-1.58,11.89,10.01,1,0
1785170731.786745,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.8,197.3,98.7,13.0,95.3,0.0,252.2,0.0,-0.857,-0.03,0.383,-0.97,2.13,-3.9,-0.08,0.19,0.872,-9.88,-3.58,-2.88,12.17,10.26,1,0
1785170731.7940886,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,197.5,98.9,8.6,95.3,0.0,252.3,0.0,-0.866,-0.023,0.381,0.29,2.98,-3.91,-0.076,0.186,0.877,-8.81,-4.09,-3.53,11.88,10.44,1,0
1785170731.8045857,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,197.7,99.0,5.2,95.1,0.0,252.4,0.0,-0.854,-0.019,0.373,0.94,2.46,-2.29,-0.075,0.192,0.883,-8.27,-4.38,-4.12,11.91,10.33,1,0
1785170731.8115492,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,197.9,99.2,2.8,95.2,0.0,252.5,0.0,-0.849,-0.019,0.374,0.68,1.9,-2.34,-0.074,0.205,0.879,-7.6,-4.64,-4.1,11.93,11.0,1,0
1785170731.8267796,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,198.1,99.4,0.9,95.2,0.0,252.6,0.0,-0.85,-0.016,0.36,0.76,2.65,-2.1,-0.071,0.214,0.865,-7.62,-5.15,-4.22,11.95,10.75,1,0
1785170731.8373783,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,198.3,99.5,0.0,95.3,0.0,252.6,0.0,-0.859,-0.017,0.362,1.06,2.02,-0.49,-0.071,0.2,0.863,-8.15,-5.28,-4.27,11.96,10.81,1,0
1785170731.8471744,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,198.7,99.7,0.0,95.4,0.0,252.7,0.0,-0.846,-0.021,0.359,1.79,2.36,0.67,-0.086,0.198,0.861,-7.91,-6.5,-5.67,11.97,10.86,1,0
1785170731.8579602,DOWN,171.9,343.5,65.2,203.5,220.1,0.0,355.9,199.1,99.8,0.0,95.4,0.0,252.7,0.0,-0.848,-0.023,0.371,2.27,2.43,0.76,-0.077,0.187,0.863,-9.02,-7.78,-7.4,12.23,10.89,1,0
