timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785170680.4934402,RIGHT,172.0,343.5,65.2,203.6,219.0,0.0,354.6,348.6,42.4,0.0,98.4,0.0,203.8,0.0,-0.86,-0.016,0.386,2.8,2.09,2.29,0.042,0.119,0.845,-0.37,4.0,-1.41,11.76,10.44,1,0
1785170680.5019608,RIGHT,172.0,343.5,65.2,203.6,219.0,0.0,354.7,348.3,42.4,0.0,98.4,0.0,203.7,0.0,-0.853,-0.001,0.393,2.41,2.27,2.04,0.104,-0.018,0.928,-1.47,3.12,-0.22,11.82,10.58,1,0
1785170680.5149322,RIGHT,172.0,343.5,65.2,203.6,219.0,0.0,354.7,348.3,42.3,0.0,98.4,0.0,203.7,0.0,-0.86,0.002,0.393,2.29,1.98,2.6,0.116,-0.002,0.922,1.59,0.46,3.74,11.87,10.44,1,0
1785170680.5201025,RIGHT,172.0,343.5,65.2,203.6,219.0,0.0,354.7,348.3,42.2,0.0,98.4,0.0,203.7,0.0,-0.864,0.003,0.377,1.64,2.69,2.95,0.103,0.021,0.913,1.49,0.04,4.06,11.65,10.58,1,0
1785170680.5313044,RIGHT,172.0,343.5,65.2,203.6,219.0,0.0,354.7,348.3,42.1,0.0,98.3,0.0,203.7,0.0,-0.845,-0.001,0.391,0.57,2.92,5.4,0.145,0.028,0.899,1.22,-0.02,4.29,11.74,10.43,1,0
1785170680.5452874,RIGHT,172.0,343.5,65.2,203.6,219.1,0.0,354.7,348.3,42.0,0.0,98.3,0.0,203.6,0.0,-0.862,-0.008,0.386,0.91,1.65,4.35,0.115,0.014,0.919,3.21,1.63,3.41,11.8,10.32,1,0
1785170680.5535257,RIGHT,172.0,343.5,65.2,203.6,219.1,0.0,354.7,348.2,41.9,0.0,98.3,0.0,203.3,0.0,-0.864,-0.014,0.389,1.68,1.73,2.54,0.107,0.029,0.927,4.92,3.64,0.21,11.85,10.24,1,0
1785170680.5628033,RIGHT,172.0,343.5,65.2,203.6,219.1,0.0,354.7,348.2,41.8,0.0,98.3,0.0,203.3,0.0,-0.884,-0.01,0.387,2.21,1.12,2.29,0.131,0.059,0.931,4.77,4.04,-3.97,11.89,9.68,1,0
1785170680.5737162,RIGHT,172.0,343.5,65.2,203.6,219.1,0.0,354.7,348.2,41.8,0.0,98.3,0.0,203.3,0.0,-0.867,-0.016,0.381,1.6,1.03,3.53,0.137,0.047,0.941,2.24,4.4,-6.88,11.92,9.76,1,0
1785170680.5788326,RIGHT,172.0,343.5,65.0,203.6,219.1,0.0,354.7,348.3,41.8,0.0,98.3,0.0,203.3,0.0,-0.877,-0.025,0.372,3.07,0.31,0.24,0.146,0.027,0.928,0.4,5.64,-9.53,11.94,9.82,1,0
1785170680.5862513,RIGHT,172.0,343.5,65.0,203.6,219.1,0.0,354.7,348.3,41.8,0.0,98.3,0.0,203.3,0.0,-0.874,-0.016,0.381,4.56,1.52,-2.27,0.132,0.01,0.923,-0.02,4.96,-10.75,11.7,9.87,1,0
1785170680.597754,RIGHT,172.0,343.7,65.0,203.6,219.1,0.0,354.7,348.3,41.8,0.0,98.3,0.0,203.3,0.0,-0.884,0.009,0.378,4.28,0.44,-1.64,0.132,0.014,0.914,0.34,3.56,-11.47,11.78,10.15,1,0
1785170680.6123252,RIGHT,171.9,343.7,65.0,203.6,219.1,0.0,354.7,348.3,41.9,0.0,98.3,0.0,203.3,0.0,-0.862,0.007,0.375,3.15,1.05,-0.57,0.113,0.018,0.92,1.11,1.9,-11.4,11.33,10.11,1,0
1785170680.6123252,RIGHT,171.9,343.7,65.1,203.6,219.1,0.0,354.7,348.3,42.0,0.0,98.3,0.0,203.4,0.0,-0.855,-0.002,0.372,2.43,1.65,-1.32,0.084,0.025,0.945,1.08,-0.83,-12.65,11.5,10.33,1,0
1785170680.6293452,RIGHT,171.9,343.7,65.1,203.6,219.1,0.0,354.7,348.3,42.1,0.0,98.3,0.0,203.5,0.0,-0.859,0.006,0.397,2.08,1.88,-1.34,0.104,0.047,0.932,0.28,-1.83,-12.82,11.62,10.25,1,0
1785170680.6429148,RIGHT,171.9,343.7,65.1,203.6,219.1,0.0,354.7,348.3,42.2,0.0,98.3,0.0,203.6,0.0,-0.865,0.01,0.398,1.48,1.56,-0.14,0.138,0.025,0.913,-0.96,-1.92,-12.92,11.72,10.19,1,0
1785170680.6535134,RIGHT,171.9,343.6,65.1,203.6,219.1,0.0,354.7,348.3,42.3,0.0,98.3,0.0,203.7,0.0,-0.865,-0.006,0.391,1.08,0.69,-0.49,0.161,-0.005,0.885,-0.7,-1.82,-12.63,11.79,10.14,1,0
